# database for map
# goes along the x and then down the y axis.
# 1 bit per hex border on the bottom 3 borders ONLY:
# 1st digit - bottom left
# 2nd digit - bottom
# 3rd digit - bottom right
# 0 - move not possible, 1 - move possible
# followed by terrain: 0=water, 1+ all else

# The first line
011,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
100,0
011,1
110,1
011,0
111,0
111,0
111,0
110,0
011,1
111,1
100,1
101,1
010,1
101,1
111,1
110,1
011,0
111,0
110,0
100,0
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
110,1
# line 2
011,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
110,0
011,1
111,1
100,1
011,0
111,0
111,0
111,0
111,0
111,0
000,1
101,0
110,0
011,1
010,1
110,1
100,1
101,0
111,0
100,0
000,1
011,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
110,1
# line 3
011,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
011,1
000,0
000,1
110,1
001,0
111,0
111,0
111,0
111,0
111,0
111,0
101,0
010,0
001,1
111,1
110,1
100,1
000,1
010,0
011,1
110,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
110,1
# line 4
011,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
000,0
111,1
110,1
001,1
111,1
110,1
011,0
111,0
111,0
111,0
111,0
111,0
011,1
110,1
001,0
000,0
011,1
100,1
011,0
111,0
110,0
011,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
110,1
# line 5
011,0
111,0
111,0
111,0
111,0
111,0
111,0
001,1
111,1
110,1
100,1
100,0
011,1
111,1
001,0
011,0
111,0
111,0
111,0
111,0
011,1
110,1
001,1
100,1
100,1
111,0
111,0
101,0
110,0
011,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
110,1
# line 6
011,0
111,0
111,0
111,0
111,0
111,0
111,0
001,1
111,1
100,1
010,0
011,1
011,1
111,1
110,1
011,0
111,0
101,0
111,0
100,0
001,1
111,1
000,1
111,1
011,0
100,0
100,0
111,1
000,0
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
110,1
# line 7
011,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
000,1
110,0
100,0
111,1
111,1
111,1
110,1
011,0
111,0
100,0
100,0
111,1
111,1
111,1
111,1
111,1
000,0
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
101,1
111,1
110,1
# line 8
011,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
111,0
001,1
101,1
111,1
111,1
110,1
001,0
110,0
011,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
111,1
